가구원수,취업인원수,가구주_연령,비동거취업미혼자녀수,비동거학업미혼자녀수,비동거기타미혼자녀수,자동차보유대수,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가계지출금액,가계지출_소비지출금액
1,0,62,0,0,0,1,370,5000,350,15,2,1764434,1600727
1,0,62,0,0,0,2,270,0,0,169,1,2728319,2427209
1,0,62,1,0,0,0,231,2000,220,42,2,661338,641338
1,0,62,1,0,0,0,250,0,0,45,1,461141,447492
1,0,62,1,0,0,0,250,0,250,33,2,1343241,1260741
1,0,62,1,0,0,1,600,25600,95,36,2,1375026,1312516
1,0,62,2,0,0,0,300,0,0,52,1,478485,454500
1,0,62,2,1,0,0,200,3000,200,34,2,1684897,1465850
1,0,63,0,0,0,0,100,0,0,50,2,1124312,1023339
1,0,63,0,0,0,0,1100,0,0,112,1,1040655,836165
1,0,63,0,0,0,0,113,29720,0,33,2,649207,564468
1,0,63,0,0,0,0,150,0,0,23,2,963421,963421
